gs,woodiness,woodiness.count
Hydrangea hirta,W,0;0;2
Hydrangea macrophylla,W,0;0;1
Hydrangea paniculata,W,0;0;5
Hydrangea peruviana,W,0;0;3
Hydrangea petiolaris,W,0;0;5
Hydrangea quercifolia,W,0;0;1
Hydrangea serratifolia,W,0;0;1
Hydrastis canadensis,H,1;0;0
Hydriastele chaunostachys,W,0;0;1
Hydriastele microspadix,W,0;0;1
Hydriastele pinangoides,W,0;0;1
Hydriastele wendlandiana,W,0;0;1
Hydrilla verticillata,H,2;0;0
Hydrobryum floribundum,H,1;0;0
Hydrobryum japonicum,H,1;0;0
Hydrocharis dubia,H,1;0;0
Hydrocharis morsus-ranae,H,6;0;0
Hydrochorea corymbosa,W,0;0;6
Hydrochorea gonggrijpii,W,0;0;1
Hydrocleys nymphoides,H,1;0;0
Hydrocotyle acutifolia,H,4;0;0
Hydrocotyle bowlesioides,W,0;0;1
Hydrocotyle heteromeria,H,1;0;0
Hydrocotyle modesta,W,0;0;1
Hydrocotyle moschata,H,1;0;0
Hydrocotyle novae-zelandiae,H,4;0;0
Hydrocotyle sibthorpioides,W,0;0;1
Hydrocotyle tripartita,H,1;0;0
Hydrocotyle verticillata,W,0;0;1
Hydrocotyle vulgaris,H,5;0;1
Hydrogaster trinervis,W,0;0;1
Hydrolea ovata,H,1;0;0
Hydrolea spinosa,H,1;0;0
Hydrophilus rattrayi,H,1;0;0
Hydrophyllum appendiculatum,H,2;0;0
Hydrophyllum canadense,H,4;0;0
Hydrophyllum capitatum,H,1;0;0
Hydrophyllum tenuipes,H,1;0;0
Hydrophyllum virginianum,H,2;0;0
Hydrostachys imbricata,H,1;0;0
Hydrostachys multifida,H,1;0;0
Hydrothrix gardneri,H,1;0;0
Hydrotriche hottoniiflora,H,1;0;0
Hygrochilus parishii,H,1;0;0
Hygrophila africana,H,1;0;0
Hygrophila auriculata,H,1;0;0
Hygrophila barbata,H,1;0;0
Hygrophila cataractae,H,1;0;0
Hygrophila lacustris,H,1;0;0
Hygrophila niokoloensis,H,1;0;0
Hygrophila pobeguinii,H,1;0;0
Hygrophila schulli,H,1;0;0
Hygrophila senegalensis,H,1;0;0
Hylaeanthe hexantha,H,1;0;0
Hylaeorchis petiolaris,H,1;0;0
Hylandia dockrillii,W,0;0;2
Hylenaea comosa,W,0;0;1
Hylenaea praecelsa,W,0;0;4
Hylocereus peruvianus,W,0;0;1
Hylocomium splendens,H,1;0;0
Hylodendron gabunense,W,0;0;3
Hymenachne donacifolia,H,1;0;0
Hymenachne grumosa,H,1;0;0
Hymenachne indica,H,1;0;0
Hymenachne pernambucense,H,1;0;0
Hymenaea courbaril,W,0;0;33
Hymenaea intermedia,W,0;0;1
Hymenaea martiana,W,0;0;2
Hymenaea oblongifolia,W,0;0;11
Hymenaea palustris,W,0;0;3
Hymenaea parvifolia,W,0;0;6
Hymenaea stigonocarpa,W,0;0;2
Hymenaea verrucosa,W,0;0;2
Hymenandra wallichii,W,0;0;1
Hymenanthera alpina,H,1;0;0
Hymenanthera dentata,W,0;0;1
Hymenasplenium cheilosorum,H,1;0;0
Hymenasplenium excisum,H,1;0;0
Hymenasplenium obliquissimum,H,1;0;0
Hymenasplenium unilaterale,H,1;0;0
Hymenocallis acutifolia,H,1;0;0
Hymenocallis latifolia,H,1;0;0
Hymenocallis littoralis,H,1;0;0
Hymenocallis tubiflora,H,1;0;0
Hymenocardia acida,W,0;0;7
Hymenocardia heudelotii,W,0;0;1
Hymenocardia ulmoides,W,0;0;6
Hymenoclea monogyra,W,0;0;3
Hymenoclea salsola,W,0;0;6
Hymenodictyon berivotrense,W,0;0;1
Hymenodictyon decaryi,W,0;0;2
Hymenodictyon excelsum,W,0;0;2
Hymenodictyon flaccidum,W,0;0;1
Hymenodictyon floribundum,W,0;0;1
Hymenodictyon orixense,W,0;0;2
Hymenodictyon parvifolium,W,0;0;3
Hymenolepis gnidioides,W,0;0;1
Hymenolobium excelsum,W,0;0;5
Hymenolobium flavum,W,0;0;5
Hymenolobium mesoamericanum,W,0;0;3
Hymenolobium modestum,W,0;0;2
Hymenolobium nitidum,W,0;0;1
Hymenolobium petraeum,W,0;0;4
Hymenolobium pulcherrimum,W,0;0;2
Hymenolobus procumbens,H,1;0;0
Hymenopappus filifolius,variable,0;1;0
Hymenophyllum australe,H,1;0;0
Hymenophyllum capense,H,1;0;0
Hymenophyllum capillare,H,1;0;0
Hymenophyllum cupressiforme,H,1;0;0
Hymenophyllum demissum,H,1;0;0
Hymenophyllum dilatatum,H,1;0;0
Hymenophyllum ferrugineum,H,1;0;0
Hymenophyllum flabellatum,H,1;0;0
Hymenophyllum flexuosum,H,1;0;0
Hymenophyllum minimum,H,1;0;0
Hymenophyllum multiflorum,H,1;0;0
Hymenophyllum peltatum,H,1;0;0
Hymenophyllum polyanthos,H,1;0;0
Hymenophyllum pulcherrimum,H,1;0;0
Hymenophyllum pumilum,H,1;0;0
Hymenophyllum rarum,H,1;0;0
Hymenophyllum revolutum,H,2;0;0
Hymenophyllum sanguinolentum,H,1;0;0
Hymenophyllum scabrum,H,1;0;0
Hymenophyllum sibthorpioides,H,1;0;0
Hymenophyllum tunbridgense,H,1;0;0
Hymenophyllum villosum,H,1;0;0
Hymenorchis javanica,H,1;0;0
Hymenosporum flavum,W,0;0;7
Hymenostegia afzelii,W,0;0;1
Hymenostegia pellegrinii,W,0;0;4
Hymenoxys lemmonii,H,1;0;0
Hyobanche atropurpurea,H,1;0;0
Hyobanche glabrata,H,1;0;0
Hyobanche rubra,H,1;0;0
Hyobanche sanguinea,H,1;0;0
Hyophorbe amaricaulis,W,0;0;2
Hyophorbe indica,W,0;0;2
Hyophorbe lagenicaulis,W,0;0;3
Hyophorbe vaughanii,W,0;0;3
Hyophorbe verschaffeltii,W,0;0;2
Hyoscyamus niger,H,5;0;0
Hyoseris lucida,H,1;0;0
Hyoseris radiata,H,1;0;0
Hyoseris scabra,H,1;0;0
Hyospathe elegans,W,0;0;2
Hyospathe macrorhachis,W,0;0;1
Hyparrhenia hirta,H,2;0;0
Hyparrhenia rufa,H,2;0;0
Hypecoum imberbe,H,1;0;0
Hypelate trifoliata,W,0;0;4
Hyperacanthus ambovombensis,W,0;0;1
Hyperacanthus amoenus,W,0;0;6
Hyperacanthus madagascariensis,W,0;0;1
Hyperbaena domingensis,W,0;0;1
Hyperbaena eladioana,W,0;0;1
Hyperbaena leptobotryosa,W,0;0;1
Hyperbaena mexicana,W,0;0;2
Hyperbaena prioriana,W,0;0;1
Hyperbaena smilacina,W,0;0;1
Hyperbaena tonduzii,W,0;0;1
Hypericum androsaemum,H,1;0;0
Hypericum ascyron,H,1;0;0
Hypericum attenuatum,H,1;0;0
Hypericum balearicum,W,0;0;4
Hypericum caespitosum,H,1;0;0
Hypericum calycinum,W,0;0;3
Hypericum chinense,W,0;0;1
Hypericum elodes,H,1;0;0
Hypericum gramineum,H,4;0;0
Hypericum hircinum,W,0;0;1
Hypericum hirsutum,H,2;0;0
Hypericum hypericoides,W,0;0;2
Hypericum japonicum,H,1;0;0
Hypericum laxiusculum,W,0;0;1
Hypericum maculatum,H,2;0;0
Hypericum montanum,H,1;0;0
Hypericum perforatum,H,9;0;0
Hypericum prolificum,W,0;0;1
Hypericum pulchrum,H,1;0;0
Hypericum reflexum,W,0;0;5
Hypericum sampsonii,H,1;0;0
Hypericum silenoides,H,1;0;0
Hypericum tetrapterum,H,1;0;0
Hypertelis salsoloides,variable,0;1;0
Hyphaene coriacea,W,0;0;2
Hyphaene natalensis,W,0;0;3
Hyphaene parvula,W,0;0;3
Hyphaene petersiana,W,0;0;1
Hyphaene reptans,W,0;0;3
Hyphaene thebaica,W,0;0;2
Hyphaene turbinata,W,0;0;3
Hyphaene ventricosa,W,0;0;3
Hypobathrum frutescens,W,0;0;1
Hypobathrum racemosum,W,0;0;2
Hypocalymma angustifolium,W,0;0;4
Hypocalymma cordifolium,W,0;0;1
Hypocalymma linifolium,W,0;0;1
Hypocalymma robustum,W,0;0;1
Hypocalymma speciosum,W,0;0;1
Hypocalymma strictum,W,0;0;1
Hypocalymma tenuatum,W,0;0;1
Hypocalymma tetrapterum,W,0;0;1
Hypocalyptus coluteoides,W,0;0;1
Hypocalyptus sophoroides,W,0;0;1
Hypochaeris acaulis,H,1;0;0
Hypochaeris achyrophorus,H,1;0;0
Hypochaeris apargioides,H,1;0;0
Hypochaeris barbata,H,1;0;0
Hypochaeris chillensis,H,1;0;0
Hypochaeris clarionoides,H,1;0;0
Hypochaeris cretensis,H,1;0;0
Hypochaeris glabra,H,5;0;0
Hypochaeris graminea,H,1;0;0
Hypochaeris hookeri,H,1;0;0
Hypochaeris maculata,H,2;0;0
Hypochaeris megapotamica,H,1;0;0
Hypochaeris meyeniana,H,1;0;0
Hypochaeris microcephala,H,4;0;0
Hypochaeris oligocephala,H,1;0;0
Hypochaeris palustris,H,1;0;0
Hypochaeris pampasica,H,1;0;0
Hypochaeris radicata,H,16;0;0
Hypochaeris robertia,H,1;0;0
Hypochaeris scorzonerae,H,1;0;0
Hypochaeris sessiliflora,H,1;0;0
Hypochaeris sonchoides,H,4;0;0
Hypochaeris spathulata,H,1;0;0
Hypochaeris taraxacoides,H,1;0;0
Hypochaeris tenuifolia,H,1;0;0
Hypochaeris uniflora,H,1;0;0
Hypochoeris radicata,H,4;0;0
Hypodaphnis zenkeri,W,0;0;2
Hypodiscus alboaristatus,H,1;0;0
Hypodiscus neesii,H,1;0;0
Hypodiscus striatus,H,1;0;0
Hypoestes forskaolii,H,1;0;0
Hypoestes verticillaris,W,0;0;4
Hypolaena fastigiata,H,5;0;1
Hypolaena robusta,H,1;0;0
Hypolepis ambigua,H,1;0;0
Hypolepis elegans,H,1;0;0
Hypolepis millefolium,H,1;0;0
Hypolepis muelleri,H,1;0;0
Hypolepis rugosula,H,1;0;0
Hypolepis sparsisora,H,1;0;0
Hypolytrum bullatum,H,1;0;0
Hypolytrum nemorum,H,3;0;0
Hypolytrum proliferum,H,1;0;0
Hypoxis acuminata,H,1;0;0
Hypoxis angustifolia,H,1;0;0
Hypoxis argentea,H,1;0;0
Hypoxis colchicifolia,H,1;0;0
Hypoxis filiformis,H,1;0;0
Hypoxis galpinii,H,1;0;0
Hypoxis glabella,H,2;0;0
Hypoxis goetzei,H,1;0;0
Hypoxis hemerocallidea,H,1;0;0
Hypoxis hirsuta,H,1;0;0
Hypoxis humilis,H,2;0;0
Hypoxis hygrometrica,H,1;0;0
Hypoxis iridifolia,H,1;0;0
Hypoxis juncea,H,1;0;0
Hypoxis leptocarpa,H,1;0;0
Hypoxis micrantha,H,1;0;0
Hypoxis multiceps,H,1;0;0
Hypoxis nyasica,H,1;0;0
Hypoxis obtusa,H,1;0;0
Hypoxis polystachya,H,1;0;0
Hypoxis rigidula,H,3;0;0
Hypoxis sessilis,H,1;0;0
Hypsela reniformis,H,1;0;0
Hypselodelphys hirsuta,H,1;0;0
Hypselodelphys poggeana,H,1;0;0
Hypselodelphys violacea,H,1;0;0
Hypseocharis pimpinellifolia,H,1;0;0
Hypserpa decumbens,W,0;1;3
Hypserpa nitida,variable,0;1;0
Hyptidendron asperrimum,W,0;0;1
Hyptis alata,H,1;0;0
Hyptis albida,W,0;0;1
Hyptis capitata,H,1;0;0
Hyptis emoryi,W,0;0;2
Hyptis floribunda,W,0;0;1
Hyptis mutabilis,H,4;0;1
Hyptis odorata,W,0;0;1
Hyptis pectinata,H,2;0;0
Hyptis recurvata,H,1;0;0
Hyptis savannarum,H,1;0;0
Hyptis suaveolens,H,1;0;0
Hyptis tephrodes,W,0;0;1
Hyptis tomentosa,W,0;0;1
Hyrtanandra hirta,H,1;0;0
Hyssopus officinalis,variable,0;1;0
Hysterionica jasionoides,W,0;0;1
Hystrix deceptorix,H,1;0;0
Hystrix duthiei,H,1;0;0
Hystrix gracilis,H,1;0;0
Hystrix patula,H,5;0;0
Ianhedgea minutiflora,H,1;0;0
Iberis amara,H,4;0;0
Iberis sempervirens,variable,0;1;0
Iberis umbellata,H,1;0;0
Ibervillea hypoleuca,variable,0;1;0
Ibervillea lindheimeri,variable,0;1;0
Ibervillea millspaughii,variable,0;1;0
Ibervillea sonorae,W,0;0;1
Ibicella lutea,H,1;0;0
Icacina claessensii,W,0;0;1
Icacina mannii,W,0;0;2
Icacina senegalensis,W,0;0;2
Icacina trichantha,W,0;0;1
Ichnanthus pallens,H,1;0;0
Ichnocarpus frutescens,variable,0;1;0
Ichnocarpus serpyllifolius,variable,0;1;0
Ichthyothere terminalis,H,1;0;0
Idahoa scapigera,H,1;0;0
Idesia polycarpa,W,0;0;4
Idiopappus quitensis,W,0;0;1
Idiopteris hookeriana,H,1;0;0
Idiospermum australiense,W,0;0;3
Ifloga spicata,H,3;0;0
Ifloga verticillata,H,1;0;0
Iguanura geonomiformis,W,0;0;1
Iguanura wallichiana,W,0;0;1
Ileostylus micranthus,W,0;0;1
Ilex aculeolata,W,0;0;1
Ilex affinis,W,0;0;1
Ilex ambigua,W,0;0;2
Ilex amelanchier,W,0;0;1
Ilex amplifolia,W,0;0;1
Ilex anomala,W,0;0;14
Ilex aquifolium,W,0;0;26
Ilex argentina,W,0;0;3
Ilex arnhemensis,W,0;0;2
Ilex asprella,W,0;0;2
Ilex belizensis,W,0;0;1
Ilex berteroi,W,0;0;1
Ilex bioritsensis,W,0;0;1
Ilex brandegeeana,W,0;0;1
Ilex brasiliensis,W,0;0;2
Ilex brevicuspis,W,0;0;3
Ilex buergeri,W,0;0;2
Ilex caliana,W,0;0;1
Ilex canariensis,W,0;0;10
Ilex capensis,W,0;0;1
Ilex caroliniana,W,0;0;1
Ilex casiquiarensis,W,0;0;2
Ilex cassine,W,0;0;5
Ilex cerasifolia,W,0;0;1
Ilex chapaensis,W,0;0;2
Ilex chinensis,W,0;0;3
Ilex chiriquensis,W,0;0;1
Ilex cinerea,W,0;0;1
Ilex cissoidea,W,0;0;2
Ilex cochinchinensis,W,0;0;2
Ilex colchica,W,0;0;1
Ilex corallina,W,0;0;1
Ilex coriacea,W,0;0;6
Ilex cornuta,W,0;0;1
Ilex costaricensis,W,0;0;1
Ilex crenata,W,0;0;5
Ilex curranii,W,0;0;1
Ilex cymosa,W,0;0;5
Ilex decidua,W,0;0;13
Ilex dipyrena,W,0;0;1
Ilex discolor,W,0;0;6
Ilex divaricata,W,0;0;1
Ilex doniana,W,0;0;1
Ilex dubia,W,0;0;1
Ilex dumosa,W,0;0;4
Ilex elmerrilliana,W,0;0;1
Ilex excelsa,W,0;0;1
Ilex fargesii,W,0;0;1
Ilex fengqingensis,W,0;0;1
Ilex ficoidea,W,0;0;1
Ilex formosana,W,0;0;1
Ilex fragilis,W,0;0;1
Ilex geniculata,W,0;0;1
Ilex glabra,W,0;0;2
Ilex godajam,W,0;0;1
Ilex goshiensis,W,0;0;3
Ilex guianensis,W,0;0;4
Ilex haberi,W,0;0;1
Ilex hanceana,W,0;0;1
Ilex harrisii,W,0;0;2
Ilex havilandii,W,0;0;1
Ilex hemiepiphytica,W,0;0;1
Ilex hylonoma,W,0;0;4
Ilex hypoglauca,W,0;0;1
Ilex insignis,W,0;0;1
Ilex integra,W,0;0;3
Ilex interregima,W,0;0;2
Ilex intricata,W,0;0;1
Ilex inundata,W,0;0;2
Ilex jenmanii,W,0;0;2
Ilex kengii,W,0;0;1
Ilex kingiana,W,0;0;1
Ilex kleinii,W,0;0;1
Ilex krugiana,W,0;0;1
Ilex kwangtungensis,W,0;0;1
Ilex laevigata,W,0;0;2
Ilex lamprophylla,W,0;0;1
Ilex latifolia,W,0;0;5
Ilex laurifolia,W,0;0;1
Ilex laurina,W,0;0;1
Ilex ledermannii,W,0;0;1
Ilex leucoclada,W,0;0;1
Ilex liukiuensis,W,0;0;1
Ilex lohfauensis,W,0;0;1
Ilex longecaudata,W,0;0;1
Ilex longipes,W,0;0;1
Ilex macfadyenii,W,0;0;9
Ilex macropoda,W,0;0;1
Ilex manneiensis,W,0;0;1
Ilex martiniana,W,0;0;2
Ilex matanoana,W,0;0;1
Ilex maxima,W,0;0;1
Ilex maximowicziana,W,0;0;1
Ilex memecylifolia,W,0;0;1
Ilex micrococca,W,0;0;3
Ilex microdonta,W,0;0;1
Ilex micropyrena,W,0;0;1
Ilex mitis,W,0;0;13
Ilex montana,W,0;0;4
Ilex mucronata,W,0;0;1
Ilex myricoides,W,0;0;1
Ilex myrtifolia,W,0;0;1
Ilex nayana,W,0;0;1
Ilex nitida,W,0;0;1
Ilex obcordata,W,0;0;4
Ilex oldhamii,W,0;0;1
Ilex opaca,W,0;0;20
Ilex ovalifolia,W,0;0;1
Ilex pallida,W,0;0;8
Ilex paraguariensis,W,0;0;1
Ilex parviflora,W,0;0;1
Ilex pedunculosa,W,0;0;3
Ilex perado,W,0;0;3
Ilex pernyi,W,0;0;1
Ilex petiolaris,W,0;0;1
Ilex platyphylla,W,0;0;6
Ilex pleiobrachiata,W,0;0;1
Ilex polyneura,W,0;0;1
Ilex pseudobuxus,W,0;0;3
Ilex pubescens,W,0;0;2
Ilex purpurea,W,0;0;2
Ilex quercetorum,W,0;0;3
Ilex repanda,W,0;0;2
Ilex retusa,W,0;0;1
Ilex riedlaei,W,0;0;1
Ilex rimbachii,W,0;0;2
Ilex rotunda,W,0;0;17
Ilex rubra,W,0;0;1
Ilex rugosa,W,0;0;2
Ilex sclerophylloides,W,0;0;1
Ilex sebertii,W,0;0;1
Ilex serrata,W,0;0;1
Ilex sideroxyloides,W,0;0;5
Ilex skutchii,W,0;0;2
Ilex sterrophylla,W,0;0;2
Ilex suaveolens,W,0;0;1
Ilex subcordata,W,0;0;1
Ilex subrugosa,W,0;0;1
Ilex sugeroki,W,0;0;1
Ilex szechwanensis,W,0;0;1
Ilex theezans,W,0;0;7
Ilex tolucana,W,0;0;1
Ilex triflora,W,0;0;1
Ilex tsoii,W,0;0;1
Ilex umbellata,W,0;0;1
Ilex uniflora,W,0;0;1
Ilex valerii,W,0;0;4
Ilex venulosa,W,0;0;1
Ilex versteeghii,W,0;0;2
Ilex verticillata,W,0;0;22
Ilex viridis,W,0;0;2
Ilex vitiensis,W,0;0;1
Ilex volkensiana,W,0;0;1
Ilex vomitoria,W,0;0;8
Ilex vulcanicola,W,0;0;1
Ilex warburgii,W,0;0;1
Ilex wilsonii,W,0;0;1
Ilex wuiana,W,0;0;1
Ilex yunnanensis,W,0;0;1
Ilex yurumanguinis,W,0;0;1
Iliamna bakeri,variable,0;1;0
Iljinia regelii,W,0;0;1
Illecebrum verticillatum,H,2;0;0
Illicium angustisepalum,W,0;0;2
Illicium anisatum,W,0;0;10
Illicium arborescens,W,0;0;1
Illicium cambodianum,W,0;0;1
Illicium cubense,W,0;0;1
Illicium dunnianum,W,0;0;1
Illicium floridanum,W,0;0;3
Illicium henryi,W,0;0;2
Illicium lanceolatum,W,0;0;1
Illicium leiophyllum,W,0;0;1
Illicium majus,W,0;0;1
Illicium mexicanum,W,0;0;1
Illicium micranthum,W,0;0;1
Illicium oligandrum,W,0;0;2
Illicium parviflorum,W,0;0;3
Illicium religiosum,W,0;0;1
Illicium ridleyanum,W,0;0;1
Illicium simonsii,W,0;0;1
Illicium tashiroi,W,0;0;1
Illicium tenuifolium,W,0;0;1
Illicium ternstroemioides,W,0;0;1
Illicium verum,W,0;0;4
Illigera appendiculata,W,0;0;1
Illigera celebica,W,0;0;1
Illigera luzonensis,W,0;0;1
Illigera madagascariensis,W,0;0;1
Illigera megaptera,W,0;0;1
Illigera pentaphylla,W,0;0;1
Illigera reticulata,W,0;0;1
Illigera vespertilio,W,0;0;1
Ilysanthes dubia,H,1;0;0
Impatiens amplexicaulis,H,1;0;0
Impatiens balfourii,H,1;0;0
Impatiens balsamina,H,4;0;0
Impatiens barbata,H,1;0;0
Impatiens bicornuta,H,1;0;0
Impatiens biflora,H,4;0;0
Impatiens capensis,H,8;0;0
Impatiens cymbifera,H,1;0;0
Impatiens discolor,H,1;0;0
Impatiens falcifer,H,1;0;0
Impatiens glandulifera,H,7;0;0
Impatiens gordonii,H,1;0;0
Impatiens hawkeri,H,1;0;0
Impatiens hoehnelii,H,1;0;0
Impatiens niamniamensis,W,0;0;1
Impatiens noli-tangere,H,10;0;0
Impatiens nubigena,H,1;0;0
Impatiens occultans,H,1;0;0
Impatiens pallida,H,4;0;0
Impatiens parviflora,H,6;0;0
Impatiens pradhanii,H,1;0;0
Impatiens puberula,H,1;0;0
Impatiens racemosa,H,1;0;0
Impatiens radiata,H,1;0;0
Impatiens repens,H,1;0;0
Impatiens serrata,H,1;0;0
Impatiens sodenii,H,1;0;0
Impatiens subecalcarata,H,1;0;0
Impatiens sulcata,H,1;0;0
Impatiens textorii,H,1;0;0
Impatiens uniflora,H,1;0;0
Impatiens urticifolia,H,1;0;0
Impatiens walleriana,H,3;0;0
Impatiens wallichii,H,1;0;0
Imperata cheesemanii,H,2;0;0
Imperata cylindrica,H,20;0;0
Imperata saccharifera,H,6;0;0
Incarum pavonii,H,1;0;0
Incarvillea arguta,H,1;0;0
Indigofera australis,W,0;0;1
Indigofera brevidens,W,0;0;1
Indigofera colutea,H,2;0;0
Indigofera glomerata,H,1;0;0
Indigofera hirsuta,H,2;0;0
Indigofera linifolia,H,1;0;0
Indigofera sphaerocarpa,W,0;0;1
Indigofera suffruticosa,H,1;0;0
Indocalamus latifolius,W,0;0;1
Indocalamus tessellatus,W,0;0;3
Indofevillea khasiana,variable,0;1;0
Indopiptadenia oudhensis,W,0;0;1
Inga acreana,W,0;0;4
Inga acrocephala,W,0;0;6
Inga acuminata,W,0;0;8
Inga adenophylla,W,0;0;1
Inga aestuariorum,W,0;0;2
Inga alata,W,0;0;2
Inga alba,W,0;0;19
Inga aria,W,0;0;1
Inga auristellae,W,0;0;5
Inga bourgoni,W,0;0;1
Inga bourgonii,W,0;0;4
Inga brachyrhachis,W,0;0;2
Inga brachystachya,W,0;0;1
Inga brenesii,W,0;0;1
Inga brevipedicellata,W,0;0;1
Inga capitata,W,0;0;10
Inga cayennensis,W,0;0;6
Inga chartacea,W,0;0;7
Inga ciliata,W,0;0;5
Inga cinnamomea,W,0;0;9
Inga cocleensis,W,0;0;5
Inga cordatoalata,W,0;0;3
Inga coruscans,W,0;0;6
Inga cylindrica,W,0;0;1
Inga densiflora,W,0;0;8
Inga disticha,W,0;0;1
Inga dumosa,W,0;0;1
Inga edulis,W,0;0;22
Inga fagifolia,W,0;0;7
Inga fanchoniana,W,0;0;1
Inga glomeriflora,W,0;0;2
Inga goldmanii,W,0;0;6
Inga graciliflora,W,0;0;2
Inga gracilifolia,W,0;0;3
Inga gracilior,W,0;0;2
Inga hayesii,W,0;0;3
Inga heterophylla,W,0;0;3
Inga heteroptera,W,0;0;1
Inga huberi,W,0;0;2
Inga ilta,W,0;0;2
Inga ingoides,W,0;0;3
Inga inundata,W,0;0;1
Inga jinicuil,W,0;0;2
Inga lateriflora,W,0;0;3
Inga laurina,W,0;0;11
Inga leiocalycina,W,0;0;10
Inga lomatophylla,W,0;0;1
Inga longispica,W,0;0;1
Inga macrantha,W,0;0;2
Inga macrophylla,W,0;0;4
Inga marginata,W,0;0;15
Inga mathewsiana,W,0;0;1
Inga melinonis,W,0;0;2
Inga microcoma,W,0;0;2
Inga minutula,W,0;0;1
Inga mortoniana,W,0;0;3
Inga mucuna,W,0;0;3
Inga multijuga,W,0;0;6
Inga multinervis,W,0;0;2
Inga nobilis,W,0;0;10
Inga oerstediana,W,0;0;7
Inga olivacea,W,0;0;1
Inga paraensis,W,0;0;3
Inga pauciflora,W,0;0;2
Inga pavoniana,W,0;0;2
Inga pezizifera,W,0;0;13
Inga pilosula,W,0;0;4
Inga poeppigiana,W,0;0;3
Inga pruriens,W,0;0;2
Inga psittacorum,W,0;0;2
Inga punctata,W,0;0;19
Inga quadrangularis,W,0;0;1
Inga quaternata,W,0;0;10
Inga rubiginosa,W,0;0;6
Inga ruiziana,W,0;0;9
Inga rusbyi,W,0;0;2
Inga sapindoides,W,0;0;6
Inga sarayacuensis,W,0;0;2
Inga sarmentosa,W,0;0;1
Inga semialata,W,0;0;2
Inga sertulifera,W,0;0;7
Inga sessilis,W,0;0;1
Inga sinacae,W,0;0;2
Inga spectabilis,W,0;0;6
Inga splendens,W,0;0;5
Inga stipulacea,W,0;0;2
Inga stipularis,W,0;0;3
Inga striata,W,0;0;3
Inga suaveolens,W,0;0;2
Inga tenuistipula,W,0;0;4
Inga tessmannii,W,0;0;2
Inga thibaudiana,W,0;0;12
Inga tocacheana,W,0;0;1
Inga tonduzii,W,0;0;2
Inga tubaeformis,W,0;0;2
Inga umbellifera,W,0;0;9
Inga umbratica,W,0;0;3
Inga uraguensis,W,0;0;3
Inga velutina,W,0;0;4
Inga vera,W,0;0;12
Inga vismiifolia,W,0;0;4
Inga yacoana,W,0;0;2
Inhambanella guereensis,W,0;0;1
Inhambanella henriquezii,W,0;0;8
Inocarpus fagifer,W,0;0;2
Inocarpus fagiferus,W,0;0;1
Inti chartacifolia,H,1;0;0
Intsia bijuga,W,0;0;12
Intsia palembanica,W,0;0;6
Inula ammophila,W,0;0;1
Inula bifrons,H,1;0;0
Inula britannica,H,2;0;0
Inula cappa,W,0;0;4
Inula conyza,H,4;0;0
Inula crithmoides,W,0;0;2
Inula germanica,H,1;0;0
Inula helenium,H,1;0;0
Inula hirta,H,3;0;0
Inula peacockiana,H,1;0;0
Inula salicina,H,1;0;0
Inula sericea,H,1;0;0
Inula verbascifolia,H,1;0;0
Iodanthus pinnatifidus,H,1;0;0
Iodes africana,W,0;0;1
Iodes cirrhosa,W,0;0;1
Iodes k,W,0;0;1
Iodes liberica,W,0;0;1
Iodes ovalis,W,0;0;1
Iodes philippinensis,W,0;0;1
Iodes reticulata,W,0;0;1
Ionidium commune,H,1;0;0
Ionopsidium acaule,H,1;0;0
Ionopsis minutiflora,H,1;0;0
Ionopsis satyrioides,H,1;0;0
Ionopsis utricularioides,H,1;0;0
Ipheion dialystemon,H,1;0;0
Ipheion sessile,H,1;0;0
Ipheion uniflorum,H,2;0;0
Iphigenia indica,H,1;0;0
Iphigenia pauciflora,H,1;0;0
Iphionopsis rotundifolia,W,0;0;1
Ipomoea alba,variable,0;1;0
Ipomoea aquatica,variable,0;1;0
Ipomoea arborescens,W,0;0;1
Ipomoea batatas,H,1;0;0
Ipomoea carnea,W,0;0;1
Ipomoea coccinea,H,1;0;0
Ipomoea hederacea,H,1;0;0
Ipomoea indica,H,1;0;0
Ipomoea leptotoma,H,1;0;0
Ipomoea mauritiana,variable,0;1;0
Ipomoea obscura,H,1;0;0
Ipomoea pes,H,1;0;0
Ipomoea pes-caprae,H,1;0;0
Ipomoea phyllomega,W,0;0;4
Ipomoea purpurea,H,1;0;0
Ipomoea quamoclit,H,1;0;0
Ipomoea setifera,H,1;0;0
Ipomoea setosa,variable,0;1;0
Ipomoea tiliacea,H,2;0;0
Ipomoea wolcottiana,W,0;0;5
Ipomoea wrightii,H,1;0;0
Ipomopsis aggregata,W,0;0;1
Iresine angustifolia,H,1;0;0
Iresine arbuscula,W,0;0;4
Iresine palmeri,W,0;0;1
Iriartea deltoidea,W,0;0;6
Iriartea exorrhiza,W,0;0;1
Iriartea gigantea,W,0;0;1
Iriartea ventricosa,W,0;0;3
Iriartella setigera,W,0;0;3
Iriartella stenocarpa,W,0;0;1
Iris acleantha,H,1;0;0
Iris acutiloba,H,1;0;0
Iris afghanica,H,1;0;0
Iris aitchisonii,H,1;0;0
Iris alberti,H,1;0;0
Iris albicans,H,1;0;0
Iris albispiritus,H,1;0;0
Iris alexeenkoi,H,1;0;0
Iris annae,H,1;0;0
Iris antilibanotica,H,1;0;0
Iris aphylla,H,1;0;0
Iris assadiana,H,1;0;0
